address,name,symbol,decimals
BSA5MfNRWc1CTJE1FD5ZErkNNLLWf9pqDyS3rCEYV1Re,Solana Underworld Token,UWT,0
DGeHh4eoxGau3iH7PfdTJdRhZu4FWNgDFF1Czd3tNemT,Uncle Murphy Coin,UMURPHY,9
ALKiRVrfLgzeAV2mCT7cJHKg3ZoPvsCRSV7VCRWnE8zQ,Maneki-neko,NEKI,9
D6yPmaM6SueQN4mteEQMiVFMbk6BSAShJAhuqyzVJ3fq,Yarn Coin,YARN,9
4BzxVoBQzwKoqm1dQc78r42Yby3EzAeZmMiYFdCjeu5Z,Swole Doge,SWOLE,9
C3Rjiq8o2yiRWsmdSUSN276u5ah3UTqyWbZudLMG41pt,Pi Token v2,PITXX,9
CC1gRBjsu8c7sf79wVd2Ub46X1UntPd81T7tmw7sTVYp,Banana,BNN,9
6oaVWSKRi4Pm1qVLf3fQFWFWygFhgswAL7Z466WE3cE8,IMUA,IMUA,9
9Sbzj4DnRW8qFnfvJWwXxQMRkWKAwHLs9NgDuBFjkVgW,Picasso Token Div Test,PITDT,9
CN7qFa5iYkHz99PTctvT4xXUHnxwjQ5MHxCuTJtPN5uS,Boryoku Dragonz,BOKU,9
H7Qc9APCWWGDVxGD5fJHmLTmdEgT9GFatAKFNg6sHh8A,OOGI,OOGI,9
GCxgQbbvJc4UyqGCsUAUa38npzZX27EMxZwckLuWeEkt,NUTS,NUTS,9
EFYKDdppK1FjixaxExpVhoTd8gtAmncbhQYruzWyG6Cx,Spookeletons Token,SPKL,9
31tCNEE6LiL9yW4Bu153Dq4vi2GuorXxCA9pW9aA6ecU,Spookeletons Token,SPKL,9
q4bpaRKw3fJB1AJBeeBaKv3TjYzWsmntLgnSB275YUb,Turtles Token,TRTLS,9
FRtCrYT6oHEM7tdcfJJkDRMhqRWb9EjnobJSA2T95Put,Map Metrics,MMaps,4
EFqYVEitSUpUTj2d9LSqun4eZ4BzouFuTPqQzU4hNtsS,MapMetrics,MMaps,6
